Wav File: 1/164 | Errors: (1, 0, 1) | Transcription Length: 17
Wav File: 2/164 | Errors: (1, 0, 1) | Transcription Length: 7
Wav File: 3/164 | Errors: (1, 0, 1) | Transcription Length: 6
Wav File: 4/164 | Errors: (0, 0, 1) | Transcription Length: 4
Wav File: 5/164 | Errors: (0, 1, 1) | Transcription Length: 7
Wav File: 6/164 | Errors: (0, 0, 1) | Transcription Length: 4
Wav File: 7/164 | Errors: (0, 0, 1) | Transcription Length: 2
Wav File: 8/164 | Errors: (0, 0, 1) | Transcription Length: 5
Wav File: 9/164 | Errors: (1, 0, 1) | Transcription Length: 6
Wav File: 10/164 | Errors: (2, 0, 1) | Transcription Length: 8
Wav File: 11/164 | Errors: (0, 0, 0) | Transcription Length: 1
Wav File: 12/164 | Errors: (0, 0, 1) | Transcription Length: 1
Wav File: 13/164 | Errors: (0, 0, 1) | Transcription Length: 1
Wav File: 14/164 | Errors: (0, 1, 0) | Transcription Length: 1
Wav File: 15/164 | Errors: (0, 1, 0) | Transcription Length: 1
Wav File: 16/164 | Errors: (0, 0, 2) | Transcription Length: 6
Wav File: 17/164 | Errors: (0, 0, 1) | Transcription Length: 3
Wav File: 18/164 | Errors: (1, 0, 1) | Transcription Length: 8
Wav File: 19/164 | Errors: (1, 0, 1) | Transcription Length: 6
Wav File: 20/164 | Errors: (0, 0, 3) | Transcription Length: 3
Wav File: 21/164 | Errors: (1, 0, 4) | Transcription Length: 7
Wav File: 22/164 | Errors: (1, 0, 2) | Transcription Length: 10
Wav File: 23/164 | Errors: (1, 0, 3) | Transcription Length: 8
Wav File: 24/164 | Errors: (0, 0, 1) | Transcription Length: 4
Wav File: 25/164 | Errors: (3, 0, 2) | Transcription Length: 6
Wav File: 26/164 | Errors: (1, 0, 1) | Transcription Length: 7
Wav File: 27/164 | Errors: (0, 1, 2) | Transcription Length: 8
Wav File: 28/164 | Errors: (2, 0, 3) | Transcription Length: 8
Wav File: 29/164 | Errors: (1, 0, 2) | Transcription Length: 5
Wav File: 30/164 | Errors: (1, 0, 3) | Transcription Length: 7
Wav File: 31/164 | Errors: (1, 1, 1) | Transcription Length: 9
Wav File: 32/164 | Errors: (1, 1, 1) | Transcription Length: 5
Wav File: 33/164 | Errors: (1, 1, 3) | Transcription Length: 5
Wav File: 34/164 | Errors: (1, 0, 1) | Transcription Length: 5
Wav File: 35/164 | Errors: (0, 0, 0) | Transcription Length: 5
Wav File: 36/164 | Errors: (0, 0, 1) | Transcription Length: 4
Wav File: 37/164 | Errors: (0, 0, 1) | Transcription Length: 3
Wav File: 38/164 | Errors: (0, 1, 1) | Transcription Length: 8
Wav File: 39/164 | Errors: (1, 1, 1) | Transcription Length: 8
Wav File: 40/164 | Errors: (0, 0, 1) | Transcription Length: 7
Wav File: 41/164 | Errors: (1, 0, 3) | Transcription Length: 8
Wav File: 42/164 | Errors: (1, 0, 1) | Transcription Length: 7
Wav File: 43/164 | Errors: (1, 2, 1) | Transcription Length: 11
Wav File: 44/164 | Errors: (1, 0, 2) | Transcription Length: 7
Wav File: 45/164 | Errors: (2, 1, 1) | Transcription Length: 8
Wav File: 46/164 | Errors: (4, 1, 1) | Transcription Length: 6
Wav File: 47/164 | Errors: (2, 4, 1) | Transcription Length: 11
Wav File: 48/164 | Errors: (2, 2, 2) | Transcription Length: 17
Wav File: 49/164 | Errors: (1, 0, 1) | Transcription Length: 8
Wav File: 50/164 | Errors: (1, 0, 2) | Transcription Length: 9
Wav File: 51/164 | Errors: (2, 0, 2) | Transcription Length: 5
Wav File: 52/164 | Errors: (4, 0, 1) | Transcription Length: 11
Wav File: 53/164 | Errors: (2, 2, 0) | Transcription Length: 8
Wav File: 54/164 | Errors: (1, 0, 1) | Transcription Length: 6
Wav File: 55/164 | Errors: (1, 0, 1) | Transcription Length: 4
Wav File: 56/164 | Errors: (1, 0, 0) | Transcription Length: 9
Wav File: 57/164 | Errors: (1, 0, 1) | Transcription Length: 7
Wav File: 58/164 | Errors: (1, 2, 1) | Transcription Length: 8
Wav File: 59/164 | Errors: (1, 1, 2) | Transcription Length: 8
Wav File: 60/164 | Errors: (0, 0, 1) | Transcription Length: 6
Wav File: 61/164 | Errors: (0, 0, 2) | Transcription Length: 5
Wav File: 62/164 | Errors: (0, 0, 1) | Transcription Length: 5
Wav File: 63/164 | Errors: (2, 1, 1) | Transcription Length: 17
Wav File: 64/164 | Errors: (3, 0, 2) | Transcription Length: 7
Wav File: 65/164 | Errors: (2, 1, 3) | Transcription Length: 12
Wav File: 66/164 | Errors: (0, 0, 5) | Transcription Length: 8
Wav File: 67/164 | Errors: (2, 0, 1) | Transcription Length: 8
Wav File: 68/164 | Errors: (1, 0, 3) | Transcription Length: 8
Wav File: 69/164 | Errors: (1, 0, 1) | Transcription Length: 5
Wav File: 70/164 | Errors: (1, 0, 1) | Transcription Length: 9
Wav File: 71/164 | Errors: (0, 0, 1) | Transcription Length: 4
Wav File: 72/164 | Errors: (1, 0, 3) | Transcription Length: 5
Wav File: 73/164 | Errors: (5, 1, 1) | Transcription Length: 9
Wav File: 74/164 | Errors: (1, 0, 1) | Transcription Length: 8
Wav File: 75/164 | Errors: (2, 0, 1) | Transcription Length: 8
Wav File: 76/164 | Errors: (1, 0, 2) | Transcription Length: 9
Wav File: 77/164 | Errors: (3, 0, 1) | Transcription Length: 9
Wav File: 78/164 | Errors: (2, 0, 3) | Transcription Length: 9
Wav File: 79/164 | Errors: (1, 0, 1) | Transcription Length: 9
Wav File: 80/164 | Errors: (0, 0, 1) | Transcription Length: 6
Wav File: 81/164 | Errors: (0, 1, 2) | Transcription Length: 8
Wav File: 82/164 | Errors: (0, 0, 1) | Transcription Length: 5
Wav File: 83/164 | Errors: (2, 0, 1) | Transcription Length: 3
Wav File: 84/164 | Errors: (1, 0, 2) | Transcription Length: 3
Wav File: 85/164 | Errors: (0, 4, 2) | Transcription Length: 9
Wav File: 86/164 | Errors: (1, 2, 2) | Transcription Length: 11
Wav File: 87/164 | Errors: (0, 2, 4) | Transcription Length: 8
Wav File: 88/164 | Errors: (2, 0, 3) | Transcription Length: 9
Wav File: 89/164 | Errors: (1, 5, 0) | Transcription Length: 17
Wav File: 90/164 | Errors: (3, 2, 2) | Transcription Length: 17
Wav File: 91/164 | Errors: (0, 0, 2) | Transcription Length: 17
Wav File: 92/164 | Errors: (0, 1, 1) | Transcription Length: 4
Wav File: 93/164 | Errors: (0, 1, 1) | Transcription Length: 5
Wav File: 94/164 | Errors: (0, 0, 1) | Transcription Length: 5
Wav File: 95/164 | Errors: (0, 0, 0) | Transcription Length: 3
Wav File: 96/164 | Errors: (0, 1, 1) | Transcription Length: 5
Wav File: 97/164 | Errors: (1, 0, 2) | Transcription Length: 6
Wav File: 98/164 | Errors: (0, 1, 2) | Transcription Length: 8
Wav File: 99/164 | Errors: (1, 0, 2) | Transcription Length: 7
Wav File: 100/164 | Errors: (1, 0, 3) | Transcription Length: 11
Wav File: 101/164 | Errors: (0, 0, 1) | Transcription Length: 10
Wav File: 102/164 | Errors: (2, 0, 2) | Transcription Length: 14
Wav File: 103/164 | Errors: (0, 0, 1) | Transcription Length: 4
Wav File: 104/164 | Errors: (0, 1, 1) | Transcription Length: 7
Wav File: 105/164 | Errors: (2, 0, 3) | Transcription Length: 6
Wav File: 106/164 | Errors: (0, 0, 2) | Transcription Length: 9
Wav File: 107/164 | Errors: (0, 1, 1) | Transcription Length: 8
Wav File: 108/164 | Errors: (1, 0, 2) | Transcription Length: 8
Wav File: 109/164 | Errors: (0, 0, 2) | Transcription Length: 7
Wav File: 110/164 | Errors: (0, 0, 2) | Transcription Length: 6
Wav File: 111/164 | Errors: (1, 0, 2) | Transcription Length: 8
Wav File: 112/164 | Errors: (1, 0, 2) | Transcription Length: 6
Wav File: 113/164 | Errors: (0, 0, 2) | Transcription Length: 5
Wav File: 114/164 | Errors: (0, 0, 1) | Transcription Length: 7
